species	transcript_id	reference_id	strand	reference_pass	raw_correct	decoded_empty	decoded_correct	chain_class	raw_CDS_segments	reference_CDS_segments	shared_exact_suffix_segments	trim_removed_segments	oracle_emission	oracle_transition	oracle_total	oracle_total_positive	oracle_total_zero	recorded_transition
Cquinoa	C_Quinoa_Scaffold_1000_gene_338.t1	AUR62002922-RA.v1.0	-	False	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	6	6	2		-11685.308593749998	7504.243740004956	-4181.064853745042	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1000_gene_343.t1	AUR62002925-RA.v1.0	-	True	1	1	0	exact_chain	7	7	7	0	-42020.489990234375	9547.863796477715	-32472.626193756656	0	0	correct_to_wrong
Cquinoa	C_Quinoa_Scaffold_1034_gene_26.t1	AUR62038363-RA.v1.0	-	True	0	1	0	first_CDS_segment_replacement_only	11	11	10		-25264.273437500007	14359.993555961462	-10904.279881538543	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1034_gene_41.t1	AUR62038378-RA.v1.0	+	True	1	0	1	exact_chain	3	3	3	0	11735.296386718754	4085.4685284157817	15820.764915134536	1	0	correct_stays_correct
Cquinoa	C_Quinoa_Scaffold_1037_gene_42.t1	AUR62039499-RA.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	5	6	4		13713.391113281257	6139.07991068962	19852.47102397088	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1067_gene_39.t1	AUR62041170-RA.v1.0	-	False	0	1	0	downstream_TIS_trim_existing_CDS_path	5	4	3	1	-12603.90087890625	6800.609973772859	-5803.290905133394	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1105_gene_32.t1	AUR62032475-RA.v1.0	+	False	0	0	0	no_shared_exact_terminal_CDS_segment	9	8	0		55901.739959716804	12258.845471722792	68160.5854314396	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1181_gene_7.t1	AUR62040949-RA.v1.0	-	True	0	1	0	first_CDS_segment_replacement_only	3	3	2		-4472.886779785156	3413.0725290375512	-1059.814250747605	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1214_gene_304.t1	AUR62005586-RA.v1.0	+	True	0	0	0	downstream_TIS_trim_existing_CDS_path	2	1	0	1	-1844.9541015624927	1382.5325218794646	-462.4215796830258	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1289_gene_1.t1	AUR62038112-RA.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	4	5	0		-17172.724609375	4766.098684921152	-12406.625924453845	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1516_gene_56.t1	AUR62024793-RA.v1.0	-	False	0	1	0	first_CDS_segment_replacement_only	4	4	3		-16523.623779296875	4085.9292083708533	-12437.694570926025	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1611_gene_339.t1	AUR62013516-RA.v1.0	-	False	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	10	10	5		-11791.550781250004	13002.271061114998	1210.7202798649942	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1710_gene_117.t1	AUR62008653-RA.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	6	4	1		17480.103515625	6865.4034193957605	24345.506935020763	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1724_gene_1.t1	AUR62043931-RA.v1.0	+	True	0	0	0	downstream_TIS_trim_existing_CDS_path	4	3	2	1	2827.76318359375	4119.222018968264	6946.985202562014	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1759_gene_33.t1	AUR62035811-RA.v1.0	-	False	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	2	5	1		-79147.33020019531	1279.8763534780633	-77867.45384671725	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1765_gene_36.t1	AUR62033417-RA.v1.0	+	True	0	0	0	downstream_TIS_trim_existing_CDS_path	5	4	4	1	11712.996093749996	5486.149376106602	17199.1454698566	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1783_gene_190.t1	AUR62021211-RA.v1.0	+	False	0	0	0	first_CDS_segment_replacement_only	4	4	3		12458.6767578125	4781.24375563076	17239.92051344326	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1817_gene_72.t1	AUR62018663-RA.v1.0	-	True	1	1	0	exact_chain	5	5	5	0	-24347.921874999993	6145.256268364089	-18202.665606635903	0	0	correct_to_wrong
Cquinoa	C_Quinoa_Scaffold_1895_gene_53.t1	AUR62031795-RA.v1.0	-	False	0	1	0	downstream_TIS_trim_existing_CDS_path	8	7	6	1	-28420.648437499996	10905.648946285042	-17514.999491214956	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_1971_gene_392.t1	AUR62007337-RA.v1.0	+	True	1	0	1	exact_chain	5	5	5	0	26252.958984375004	6819.500112034735	33072.45909640974	1	0	correct_stays_correct
Cquinoa	C_Quinoa_Scaffold_1971_gene_414.t1	AUR62007348-RA.v1.0	+	True	1	0	1	exact_chain	11	11	11	0	31827.407226562496	15020.514990391062	46847.922216953564	1	0	correct_stays_correct
Cquinoa	C_Quinoa_Scaffold_1995_gene_360.t1	AUR62012388-RA.v1.0	+	False	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	5	6	3		24376.6410522461	6805.734644757922	31182.375697004023	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2008_gene_1.t1	AUR62011690-RA.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	13	19	0		-144767.09963989258	16956.30281859532	-127810.79682129729	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2080_gene_91.t1	AUR62036475-RA.v1.0	-	True	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	5	22	3		-118558.0466003418	6537.171036206667	-112020.87556413513	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2088_gene_357.t1	AUR62000282-RA.v1.0	-	True	1	1	0	exact_chain	3	3	3	0	-11649.773437499998	4086.297146040836	-7563.476291459163	0	0	correct_to_wrong
Cquinoa	C_Quinoa_Scaffold_2088_gene_674.t1	AUR62000553-RA.v1.0	+	True	0	0	0	no_shared_exact_terminal_CDS_segment	7	7	0		18446.989257812507	8885.266624147187	27332.255881959696	1	0	wrong_stays_wrong
