species	transcript_id	seqid	strand	reference_pass	group	original_index0	reference_index0	original_found	original_boundary_conditional_logp	original_intron_feature_logp	original_boundary_joint_logp	original_source	original_chunk	original_chunk_offset	reference_found	reference_boundary_conditional_logp	reference_intron_feature_logp	reference_boundary_joint_logp	reference_source	reference_chunk	reference_chunk_offset	delta_boundary_conditional_logp	delta_intron_feature_logp	delta_boundary_joint_logp
Cquinoa	C_Quinoa_Scaffold_1000_gene_338.t1	C_Quinoa_Scaffold_1000	-	False	changed_donor	16146203	16139385	True	-0.0032087001518217306	-0.03014788311376293	-0.03326236752867473	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1000/predictions_C_Quinoa_Scaffold_1000/predictions.0.zarr/negative	52	112178	True	-11.906262901756929	-0.001174172538468632	-11.907439579400682	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1000/predictions_C_Quinoa_Scaffold_1000/predictions.0.zarr/negative	52	105360	-11.903054201605107	0.028973710575294298	-11.874177211872007
Cquinoa	C_Quinoa_Scaffold_1000_gene_343.t1	C_Quinoa_Scaffold_1000	-	True	exact_chain_control	16246392	16246392	True	-0.0039017895014770154	-0.06183022257798676	-0.06543647523985596	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1000/predictions_C_Quinoa_Scaffold_1000/predictions.0.zarr/negative	51	71055	True	-0.0039017895014770154	-0.06183022257798676	-0.06543647523985596	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1000/predictions_C_Quinoa_Scaffold_1000/predictions.0.zarr/negative	51	71055	0.0	0.0	0.0
Cquinoa	C_Quinoa_Scaffold_1034_gene_26.t1	C_Quinoa_Scaffold_1034	-	True	changed_donor	997595	996774	True	-0.0013456852544733167	-0.009738600130311248	-0.011073852793964889	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1034/predictions_C_Quinoa_Scaffold_1034/predictions.0.zarr/negative	14	136796	True	-11.09377311450017	-0.015100560840440203	-11.1088909397074	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1034/predictions_C_Quinoa_Scaffold_1034/predictions.0.zarr/negative	14	135975	-11.092427429245696	-0.005361960710128955	-11.097817086913436
Cquinoa	C_Quinoa_Scaffold_1034_gene_41.t1	C_Quinoa_Scaffold_1034	+	True	exact_chain_control	1715551	1715551	True	-0.006731033942730669	-0.03488541840049919	-0.04136458164594181	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1034/predictions_C_Quinoa_Scaffold_1034/predictions.0.zarr/positive	12	19807	True	-0.006731033942730669	-0.03488541840049919	-0.04136458164594181	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1034/predictions_C_Quinoa_Scaffold_1034/predictions.0.zarr/positive	12	19807	0.0	0.0	0.0
Cquinoa	C_Quinoa_Scaffold_1037_gene_42.t1	C_Quinoa_Scaffold_1037	+	True	changed_donor	1092970	1100956	True	-0.013818401853154416	-0.07455409783424694	-0.0884076454870577	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1037/predictions_C_Quinoa_Scaffold_1037/predictions.0.zarr/positive	7	132458	True	-8.843927540451062	-0.006255090415098863	-8.850193099982576	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1037/predictions_C_Quinoa_Scaffold_1037/predictions.0.zarr/positive	8	3228	-8.830109138597908	0.06829900741914807	-8.761785454495518
Cquinoa	C_Quinoa_Scaffold_1067_gene_39.t1	C_Quinoa_Scaffold_1067	-	False	changed_donor	537077	532868	True	-0.0052565856632460495	-0.09409764942645937	-0.09892161223982976	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1067/predictions_C_Quinoa_Scaffold_1067/predictions.0.zarr/negative	0	62451	True	-0.0005272765356387765	-0.0020801656930773404	-0.002602255323677305	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1067/predictions_C_Quinoa_Scaffold_1067/predictions.0.zarr/negative	0	58242	0.004729309127607273	0.09201748373338203	0.09631935691615245
Cquinoa	C_Quinoa_Scaffold_1105_gene_32.t1	C_Quinoa_Scaffold_1105	+	False	changed_donor	3593382	3593077	True	-8.93773962481728	-0.2884764105354565	-9.226188968627294	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1105/predictions_C_Quinoa_Scaffold_1105/predictions.0.zarr/positive	24	103590	True	-0.04792582263708489	-0.26654704218357184	-0.3139270001145289	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1105/predictions_C_Quinoa_Scaffold_1105/predictions.0.zarr/positive	24	103285	8.889813802180194	0.021929368351884637	8.912261968512766
Cquinoa	C_Quinoa_Scaffold_1181_gene_7.t1	C_Quinoa_Scaffold_1181	-	True	changed_donor	297129	295918	True	-0.0114443801675983	-0.04809123466875409	-0.05896217442821161	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1181/predictions_C_Quinoa_Scaffold_1181/predictions.0.zarr/negative	7	128179	True	-8.40654178085559	-0.08459921305330642	-8.491303884510575	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1181/predictions_C_Quinoa_Scaffold_1181/predictions.0.zarr/negative	7	126968	-8.395097400687993	-0.03650797838455233	-8.432341710082364
Cquinoa	C_Quinoa_Scaffold_1289_gene_1.t1	C_Quinoa_Scaffold_1289	-	True	changed_donor	505608	505694	True	-0.010461470273036344	-0.07297109314348971	-0.08271509799057908	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1289/predictions_C_Quinoa_Scaffold_1289/predictions.0.zarr/negative	2	125604	True	-2.6499556247834875	-4.111737953848395	-6.762346155419659	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1289/predictions_C_Quinoa_Scaffold_1289/predictions.0.zarr/negative	2	125690	-2.639494154510451	-4.038766860704905	-6.679631057429081
Cquinoa	C_Quinoa_Scaffold_1516_gene_56.t1	C_Quinoa_Scaffold_1516	-	False	changed_donor	612913	616534	True	-0.003919355431497351	-0.04371563525109057	-0.04742543858455406	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1516/predictions_C_Quinoa_Scaffold_1516/predictions.0.zarr/negative	20	89163	True	-5.833126738748402	-4.8873767860702735	-10.72341155582552	genecad_result/predictions/Cquinoa_full_finetuned/C_Quinoa_Scaffold_1516/predictions_C_Quinoa_Scaffold_1516/predictions.0.zarr/negative	20	92784	-5.829207383316905	-4.843661150819183	-10.675986117240965
